證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","7113014","1229550638","173.30","173.40","172.40","172.85","-1.3500","10518"
"0051","元大中型100","44808","3664745","81.60","81.95","81.55","81.85","0.7500","179"
"0052","富邦科技","1106694","187604911","170.20","170.20","168.80","169.00","-1.7500","1214"
"0053","元大電子","21012","1971878","94.10","94.15","93.40","93.65","-0.9000","105"
"0055","元大MSCI金融","314344","8436075","26.67","26.90","26.67","26.87","0.2000","463"
"0056","元大高股息","11447395","457959159","40.05","40.09","39.93","40.01","-0.0400","10674"
"0057","富邦摩台","12983","1654386","127.65","127.65","127.35","127.35","-0.9000","77"
"0061","元大寶滬深","223362","3884878","17.52","17.52","17.35","17.35","-0.1900","191"
"006203","元大MSCI台灣","3318","271467","81.55","82.00","81.55","82.00","-0.6000","96"
"006204","永豐臺灣加權","23991","2598333","108.40","108.40","108.30","108.40","-0.4500","112"
"006205","富邦上証","681421","20365267","30.17","30.17","29.81","29.81","-0.3600","428"
"006206","元大上證50","197825","5627425","28.62","28.63","28.31","28.35","-0.4500","292"
"006207","復華滬深","128600","2911919","22.74","22.74","22.46","22.47","-0.3200","262"
"006208","富邦台50","3598888","363981507","101.50","101.50","100.85","101.05","-0.7500","6871"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2255082","504375914","223.50","224.45","222.85","223.70","-0.7500","2326"
"00632R","元大台灣50反1","68995432","249466132","3.62","3.63","3.61","3.62","0.0200","2565"
"00633L","富邦上証正2","10126192","352162753","35.41","35.53","34.34","34.34","-1.2600","2614"
"00634R","富邦上証反1","434000","1985900","4.52","4.59","4.52","4.59","0.0700","30"
"00635U","期元大S&P黃金","508882","14319461","28.11","28.22","28.03","28.16","0.1500","217"
"00636","國泰中國A50","839677","17438698","20.97","20.98","20.66","20.66","-0.3600","504"
"00636K","國泰中國A50+U","200","1284","6.42","6.42","6.42","6.42","-0.1100","2"
"00637L","元大滬深300正2","100733645","1407399707","14.24","14.27","13.78","13.78","-0.5000","12018"
"00638R","元大滬深300反1","361002","3448299","9.48","9.62","9.46","9.62","0.1900","84"
"00639","富邦深100","988593","10396894","10.71","10.71","10.46","10.49","-0.2200","477"
"00640L","富邦日本正2","148828","8609422","58.00","58.05","57.70","57.75","-0.2500","72"
"00641R","富邦日本反1","417100","2675120","6.40","6.42","6.40","6.41","0.0200","38"
"00642U","期元大S&P石油","3293201","55986962","17.02","17.03","16.96","17.02","0.2700","910"
"00643","群益深証中小","1258905","14502377","11.63","11.66","11.43","11.44","-0.2400","200"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","820443","31257455","38.12","38.20","38.00","38.10","-0.0700","430"
"00646","元大S&P500","4354769","235218528","53.90","54.10","53.85","54.00","0.1000","1677"
"00647L","元大S&P500正2","72398","6228822","85.95","86.15","85.95","86.15","0.1500","61"
"00648R","元大S&P500反1","186100","1048165","5.64","5.64","5.63","5.64","0.0000","33"
"00650L","復華香港正2","62624090","671678496","10.78","10.88","10.55","10.55","-0.1300","2209"
"00651R","復華香港反1","1298849","11189888","8.50","8.63","8.50","8.63","0.0500","47"
"00652","富邦印度","692828","25816954","37.40","37.43","37.18","37.41","0.0000","354"
"00653L","富邦印度正2","303008","17550721","57.60","58.55","57.45","58.55","0.7500","230"
"00654R","富邦印度反1","1149060","7748347","6.75","6.77","6.71","6.71","-0.0400","44"
"00655L","國泰中國A50正2","4743141","112602004","24.22","24.29","23.47","23.47","-0.8700","1191"
"00656R","國泰中國A50反1","107000","916810","8.51","8.63","8.50","8.63","0.1700","24"
"00657","國泰日經225","116963","5316534","45.50","45.54","45.35","45.40","-0.1300","107"
"00657K","國泰日經225+U","200","2816","14.08","14.08","14.08","14.08","-0.0400","2"
